songID,songname,singer,xiami_songname,xiami_singer,xiami_songID,songName,songType,singerID,singer.1,leftChannel,rightChannel,volume,firstLetter,languageCode,hot,clickTime,firstLetterLength,songScore,languageIntl,videoType,addDate,clickNum,label
7021482,红尘来去一场梦(国&粤),巫启贤,红尘来去一场梦,巫启贤,57668,红尘来去一场梦(国&粤),经典老歌,111510,"巫启贤,港台男歌星",2,1,6,HCLQYCM,0,1.0,1,7.0,1,国语,MV,2016-10-13,1,流行 男声 梦 创造 马来西亚 to download
7021550,一夜情,张惠妹,一夜情,张惠妹,163160,一夜情,经典老歌,114212,"张惠妹,港台女歌星",1,2,7,YYQ,0,10.0,10,3.0,1,国语,演唱会,2016-10-13,10,舒服  張惠妹
7022288,汾河流水哗啦啦,宋祖英,汾河流水哗啦啦,阎维文,65548,汾河流水哗啦啦,"经典老歌,民歌传唱",109838,"宋祖英,大陆女歌星",1,2,6,FHLSHLL,0,1.0,1,7.0,1,国语,演唱会,2016-10-13,1,
7026042,一家人,刘德华,一家人,刘德华,23786,一家人,经典老歌,107210,"刘德华,港台男歌星",1,2,6,YJR,0,7.0,7,3.0,1,粤语,演唱会,2016-10-13,7,好听 经典   劉德華作詞 梦 粵語
7028562,夫妻行(专业版),蒋大为,夫妻行,蒋大为,36645,夫妻行(专业版),"经典老歌,民歌传唱",105255,"蒋大为,大陆男歌星",1,2,7,FQX,0,6.0,6,3.0,1,国语,演唱会,2016-10-13,6,
7028563,新星赞(专业版),蒋大为,新星赞,蒋大为,1770940402,新星赞(专业版),"经典老歌,民歌传唱",105255,"蒋大为,大陆男歌星",1,2,7,XXZ,0,8.0,8,3.0,1,国语,演唱会,2016-10-13,8,
7031415,爱要说,黄格选,爱要说,黄格选,31833,爱要说,经典老歌,104695,"黄格选,大陆男歌星",1,2,7,AYS,0,7.0,7,3.0,1,国语,演唱会,2016-10-13,7,
7031420,痴痴为你等,郑秀文,痴痴为你等,郑秀文,1772714559,痴痴为你等,经典老歌,115092,"郑秀文,港台女歌星",1,2,7,CCWND,0,4.0,4,5.0,1,国语,演唱会,2016-10-13,4,
7031918,葬英雄,胡彦斌,笔墨登场,胡彦斌,1769248461,葬英雄,经典老歌,104559,"胡彦斌,大陆男歌星",1,2,7,ZYX,0,6.0,6,3.0,1,国语,演唱会,2016-10-13,6,中国风  华语 男声 好听 古风 Love
7032310,话说从头,高明骏,话说从头,高明骏,26016,话说从头,经典老歌,103417,"高明骏,港台男歌星",1,2,6,HSCT,0,5.0,5,4.0,1,国语,演唱会,2016-10-13,5,经典 好听 國語 高明駿 歲月之歌 H 回忆
7032917,天上拉萨,容中尔甲,天上拉萨,容中尔甲,47186,天上拉萨,"经典老歌,民歌传唱",109310,"容中尔甲,大陆男歌星",1,2,6,TSLS,0,2.0,2,4.0,1,国语,演唱会,2016-10-13,2,西藏 拉萨 民谣
7034980,抉择,孟庭苇,抉择,孟庭苇,376541,抉择,经典老歌,108336,"孟庭苇,港台女歌星",1,2,6,JZ,0,9.0,9,2.0,1,国语,演唱会,2016-10-13,9,Love 九十年代 台湾 华语 国语 精选
7035923,感情生活,王菲,感情生活,王菲,381314,感情生活,经典老歌,110722,"王菲,港台女歌星",2,1,6,GQSH,0,7.0,7,4.0,1,国语,MV,2016-10-13,7,好听 经典 空灵 国语 魔幻 华语歌手
7035995,两天,许巍,两天,许巍,1770124472,两天,经典老歌,112699,"许巍,大陆男歌星",1,2,6,LT,0,5.0,5,2.0,1,国语,演唱会,2016-10-13,5,
7037473,妙妙妙,徐怀钰,妙妙妙,徐怀钰,152514,妙妙妙,经典老歌,112505,"徐怀钰,港台女歌星",1,2,6,MMM,0,10.0,10,3.0,1,国语,演唱会,2016-10-13,10,不錯的歌手 经典 活潑 华语  台湾 活泼
7037497,无悔,张惠妹,无悔,张惠妹,163418,无悔,经典老歌,114212,"张惠妹,港台女歌星",1,2,6,WH,0,8.0,8,2.0,1,国语,演唱会,2016-10-13,8,好听 流行 女声 amei 台湾 悲伤
